year,window,n_docs,mean_combined_text_length,median_combined_text_length,mean_clean_text_length,section_not_found_rate,short_document_rate,mean_ttr,mean_non_ascii_rate,mean_digit_alpha_ratio,intro_not_found_rate,methods_not_found_rate,results_not_found_rate
1975,control_1975_1984,12,11179.583333333334,10530.5,12138.0,0.0,0.0,0.3376617217925692,0.0005788830529045661,0.01657952555679749,0.0,0.0,0.0
1976,control_1975_1984,13,11595.076923076924,9592.0,12536.384615384615,0.0,0.0,0.339161855565493,0.00017467966400345347,0.021378354882967562,0.0,0.0,0.0
1977,control_1975_1984,15,9994.066666666668,10066.0,10874.666666666666,0.0,0.0,0.30605819553861097,0.0003079045994833745,0.016550840179328195,0.0,0.0,0.0
1978,control_1975_1984,19,9419.368421052632,9238.0,10113.894736842105,0.0,0.0,0.3308020722307214,0.0006113927271743626,0.025515324288468914,0.0,0.0,0.0
1979,control_1975_1984,17,10701.176470588236,8210.0,11478.764705882353,0.0,0.0,0.3424686856322256,0.0013702338592190752,0.029150396422896047,0.0,0.0,0.0
1980,control_1975_1984,29,12169.241379310344,9888.0,13041.137931034482,0.0,0.0,0.3199800835633237,0.0008903373891265788,0.03625180162369453,0.0,0.0,0.0
1981,control_1975_1984,28,12212.642857142857,12114.0,13208.107142857143,0.0,0.0,0.3064378398586159,0.005453177346551206,0.048245910075465095,0.0,0.0,0.0
1982,control_1975_1984,22,14087.863636363636,12519.0,14880.863636363636,0.0,0.0,0.2768481719145148,0.00039704259736089064,0.038392918768841613,0.0,0.0,0.0
1983,control_1975_1984,23,13145.608695652174,11920.0,14200.652173913044,0.0,0.0,0.2885942140160594,0.0018899809202293388,0.040282655693106975,0.0,0.0,0.0
1984,control_1975_1984,32,14508.78125,12293.5,15419.625,0.0,0.0,0.2641937759196355,0.0012994531578748502,0.04563079799636531,0.0,0.0,0.0
1985,audit_1985_1994,36,12242.861111111111,11895.0,15970.972222222223,0.2222222222222222,0.027777777777777776,0.28359833802410733,0.0006724194220847539,0.0521430414856989,0.027777777777777776,0.16666666666666666,0.08333333333333333
1986,audit_1985_1994,35,9746.628571428571,10959.0,14704.457142857143,0.4,0.14285714285714285,0.30275825516746624,0.0005127986639997717,0.049862305308036786,0.14285714285714285,0.22857142857142856,0.34285714285714286
1987,audit_1985_1994,34,11406.529411764706,11730.5,16459.058823529413,0.29411764705882354,0.08823529411764706,0.31980590031771106,0.0016116635882609729,0.04890491033113226,0.08823529411764706,0.20588235294117646,0.23529411764705882
1988,audit_1985_1994,30,13204.2,14498.0,17857.733333333334,0.2,0.13333333333333333,0.28641766355528203,0.0005861482886493131,0.05209834878133701,0.13333333333333333,0.2,0.13333333333333333
1989,audit_1985_1994,34,12974.676470588236,12981.0,17951.382352941175,0.3235294117647059,0.058823529411764705,0.2844868283018604,0.0008434291665578748,0.06391920586992912,0.058823529411764705,0.20588235294117646,0.20588235294117646
1990,audit_1985_1994,47,11575.191489361701,11850.0,16750.31914893617,0.19148936170212766,0.06382978723404255,0.2728859634582925,0.0010587445447397894,0.06570056211206877,0.06382978723404255,0.1276595744680851,0.1276595744680851
1991,audit_1985_1994,35,11331.628571428571,12080.0,17534.22857142857,0.3142857142857143,0.11428571428571428,0.30063980799067963,0.0012007743567511574,0.05016382226164918,0.11428571428571428,0.2,0.22857142857142856
1992,audit_1985_1994,31,14169.032258064517,12997.0,19390.548387096773,0.16129032258064516,0.03225806451612903,0.2589426063610241,0.0009355985657674935,0.0533213448278514,0.03225806451612903,0.0967741935483871,0.12903225806451613
1993,audit_1985_1994,44,12914.727272727272,13402.0,18368.31818181818,0.25,0.09090909090909091,0.28552327863064286,0.0013376380303545977,0.04930918953326704,0.09090909090909091,0.13636363636363635,0.20454545454545456
1994,audit_1985_1994,47,10966.510638297872,10302.0,18085.82978723404,0.06382978723404255,0.02127659574468085,0.2843512646341887,0.0006602230787465666,0.04527015924171078,0.02127659574468085,0.02127659574468085,0.06382978723404255
